post_id,tag_id
1,3
3,8
5,17
7,37
9,31
11,20
13,9
15,18
17,30
19,38
21,9
23,34
25,6
27,7
29,2
31,46
33,20
35,13
37,9
39,26
41,15
43,15
45,47
47,26
49,43
51,6
53,42
55,28
57,8
59,22
61,5
63,19
65,41
67,46
69,14
71,43
73,48
75,44
77,24
79,49
81,20
83,37
85,36
87,49
89,46
91,34
93,39
95,37
97,41
99,13
101,23
103,14
105,6
107,14
109,39
111,14
113,21
115,40
117,29
119,30
121,24
123,30
125,10
127,11
129,10
131,15
133,36
135,5
137,26
139,35
141,45
143,34
145,36
147,28
149,9
151,44
153,29
155,22
157,21
159,43
161,11
163,6
165,17
167,37
169,7
171,6
173,21
175,39
177,22
179,7
181,3
183,23
185,7
187,1
189,48
191,45
193,2
195,47
197,5
199,34
201,10
203,46
205,8
207,9
209,44
211,10
213,4
215,6
217,45
219,39
221,22
223,7
225,25
227,47
229,33
231,34
233,10
235,49
237,30
239,19
241,11
243,32
245,28
247,36
249,5
251,48
253,39
255,43
257,13
259,19
261,7
263,25
265,21
267,3
269,36
271,23
273,45
275,42
277,14
279,45
281,9
283,6
285,35
287,24
289,29
291,12
293,9
295,35
297,9
299,14
301,34
303,10
305,12
307,12
309,1
311,49
313,28
315,6
317,38
319,23
321,22
323,33
325,9
327,19
329,20
331,4
333,30
335,6
337,39
339,36
341,42
343,28
345,25
347,9
349,29
351,14
353,7
355,47
357,27
359,43
361,1
363,30
365,45
367,13
369,47
371,12
373,45
375,23
377,45
379,35
381,21
383,44
385,45
387,47
389,37
391,45
393,46
395,24
397,28
399,31
401,3
403,33
405,8
407,34
409,36
411,34
413,20
415,10
417,30
419,13
421,25
423,16
425,32
427,15
429,37
431,3
433,48
435,17
437,42
439,5
441,32
443,8
445,4
447,18
449,43
451,29
453,37
455,38
457,25
459,27
461,21
463,46
465,29
467,9
469,18
471,9
473,37
475,14
477,32
479,5
481,34
483,30
485,31
487,44
489,40
491,47
493,29
495,46
497,25
499,30
501,24
503,12
505,49
507,36
509,2
511,21
513,28
515,22
517,18
519,22
521,10
523,19
525,13
527,36
529,5
531,48
533,46
535,40
537,25
539,7
541,45
543,5
545,35
547,29
549,47
551,9
553,36
555,27
557,39
559,30
561,16
563,9
565,16
567,9
569,21
571,38
573,30
575,27
577,34
579,22
581,3
583,12
585,15
587,33
589,28
591,49
593,33
595,3
597,23
599,1
601,13
603,17
605,10
607,3
609,9
611,12
613,25
615,10
617,3
619,21
621,19
623,45
625,38
627,10
629,48
631,34
633,27
