post_id,user_id,create_dttm,title,content
1,1,2025-09-09 09:04:11.420145,Заголовок про программирование 1,Текст про программирование должен быть больше 100 символов 1
2,2,2025-09-09 09:04:11.420146,Заголовок про программирование 2,Текст про программирование должен быть больше 100 символов 2
3,1,2025-09-09 09:04:11.420147,Заголовок про программирование 3,Текст про программирование должен быть больше 100 символов 3
4,2,2025-09-09 09:04:11.420148,Заголовок про программирование 4,Текст про программирование должен быть больше 100 символов 4
5,1,2025-09-09 09:04:11.420149,Заголовок про программирование 5,Текст про программирование должен быть больше 100 символов 5
6,1,2025-09-09 09:04:11.420150,Заголовок про программирование 6,Текст про программирование должен быть больше 100 символов 6
7,1,2025-09-09 09:04:11.420151,Заголовок про программирование 7,Текст про программирование должен быть больше 100 символов 7
8,1,2025-09-09 09:04:11.420152,Заголовок про программирование 8,Текст про программирование должен быть больше 100 символов 8
9,2,2025-09-09 09:04:11.420153,Заголовок про программирование 9,Текст про программирование должен быть больше 100 символов 9
10,3,2025-09-09 09:04:11.420154,Заголовок про программирование 10,Текст про программирование должен быть больше 100 символов 10
11,1,2025-09-09 09:04:11.420155,Заголовок про программирование 11,Текст про программирование должен быть больше 100 символов 11
12,3,2025-09-09 09:04:11.420156,Заголовок про программирование 12,Текст про программирование должен быть больше 100 символов 12
13,3,2025-09-09 09:04:11.420157,Заголовок про программирование 13,Текст про программирование должен быть больше 100 символов 13
14,3,2025-09-09 09:04:11.420158,Заголовок про программирование 14,Текст про программирование должен быть больше 100 символов 14
15,2,2025-09-09 09:04:11.420159,Заголовок про программирование 15,Текст про программирование должен быть больше 100 символов 15
16,2,2025-09-09 09:04:11.420160,Заголовок про программирование 16,Текст про программирование должен быть больше 100 символов 16
17,3,2025-09-09 09:04:11.420161,Заголовок про программирование 17,Текст про программирование должен быть больше 100 символов 17
18,1,2025-09-09 09:04:11.420162,Заголовок про программирование 18,Текст про программирование должен быть больше 100 символов 18
19,3,2025-09-09 09:04:11.420163,Заголовок про программирование 19,Текст про программирование должен быть больше 100 символов 19
20,2,2025-09-09 09:04:11.420164,Заголовок про программирование 20,Текст про программирование должен быть больше 100 символов 20
21,2,2025-09-09 09:04:11.420165,Заголовок про программирование 21,Текст про программирование должен быть больше 100 символов 21
22,2,2025-09-09 09:04:11.420166,Заголовок про программирование 22,Текст про программирование должен быть больше 100 символов 22
23,1,2025-09-09 09:04:11.420167,Заголовок про программирование 23,Текст про программирование должен быть больше 100 символов 23
24,1,2025-09-09 09:04:11.420168,Заголовок про программирование 24,Текст про программирование должен быть больше 100 символов 24
25,3,2025-09-09 09:04:11.420169,Заголовок про программирование 25,Текст про программирование должен быть больше 100 символов 25
26,2,2025-09-09 09:04:11.420170,Заголовок про программирование 26,Текст про программирование должен быть больше 100 символов 26
27,1,2025-09-09 09:04:11.420171,Заголовок про программирование 27,Текст про программирование должен быть больше 100 символов 27
28,2,2025-09-09 09:04:11.420172,Заголовок про программирование 28,Текст про программирование должен быть больше 100 символов 28
29,3,2025-09-09 09:04:11.420173,Заголовок про программирование 29,Текст про программирование должен быть больше 100 символов 29
30,3,2025-09-09 09:04:11.420174,Заголовок про программирование 30,Текст про программирование должен быть больше 100 символов 30
31,2,2025-09-09 09:04:11.420175,Заголовок про программирование 31,Текст про программирование должен быть больше 100 символов 31
32,2,2025-09-09 09:04:11.420176,Заголовок про программирование 32,Текст про программирование должен быть больше 100 символов 32
33,2,2025-09-09 09:04:11.420177,Заголовок про программирование 33,Текст про программирование должен быть больше 100 символов 33
34,3,2025-09-09 09:04:11.420178,Заголовок про программирование 34,Текст про программирование должен быть больше 100 символов 34
35,1,2025-09-09 09:04:11.420179,Заголовок про программирование 35,Текст про программирование должен быть больше 100 символов 35
36,1,2025-09-09 09:04:11.420180,Заголовок про программирование 36,Текст про программирование должен быть больше 100 символов 36
37,3,2025-09-09 09:04:11.420181,Заголовок про программирование 37,Текст про программирование должен быть больше 100 символов 37
38,2,2025-09-09 09:04:11.420182,Заголовок про программирование 38,Текст про программирование должен быть больше 100 символов 38
39,2,2025-09-09 09:04:11.420183,Заголовок про программирование 39,Текст про программирование должен быть больше 100 символов 39
40,3,2025-09-09 09:04:11.420184,Заголовок про программирование 40,Текст про программирование должен быть больше 100 символов 40
41,3,2025-09-09 09:04:11.420185,Заголовок про программирование 41,Текст про программирование должен быть больше 100 символов 41
42,3,2025-09-09 09:04:11.420186,Заголовок про программирование 42,Текст про программирование должен быть больше 100 символов 42
43,1,2025-09-09 09:04:11.420187,Заголовок про программирование 43,Текст про программирование должен быть больше 100 символов 43
44,3,2025-09-09 09:04:11.420188,Заголовок про программирование 44,Текст про программирование должен быть больше 100 символов 44
45,1,2025-09-09 09:04:11.420189,Заголовок про программирование 45,Текст про программирование должен быть больше 100 символов 45
46,2,2025-09-09 09:04:11.420190,Заголовок про программирование 46,Текст про программирование должен быть больше 100 символов 46
47,1,2025-09-09 09:04:11.420191,Заголовок про программирование 47,Текст про программирование должен быть больше 100 символов 47
48,1,2025-09-09 09:04:11.420192,Заголовок про программирование 48,Текст про программирование должен быть больше 100 символов 48
49,2,2025-09-09 09:04:11.420193,Заголовок про программирование 49,Текст про программирование должен быть больше 100 символов 49
50,2,2025-09-09 09:04:11.420194,Заголовок про программирование 50,Текст про программирование должен быть больше 100 символов 50
51,3,2025-09-09 09:04:11.420195,Заголовок про программирование 51,Текст про программирование должен быть больше 100 символов 51
52,1,2025-09-09 09:04:11.420196,Заголовок про программирование 52,Текст про программирование должен быть больше 100 символов 52
53,2,2025-09-09 09:04:11.420197,Заголовок про программирование 53,Текст про программирование должен быть больше 100 символов 53
54,2,2025-09-09 09:04:11.420198,Заголовок про программирование 54,Текст про программирование должен быть больше 100 символов 54
55,1,2025-09-09 09:04:11.420199,Заголовок про программирование 55,Текст про программирование должен быть больше 100 символов 55
56,3,2025-09-09 09:04:11.420200,Заголовок про программирование 56,Текст про программирование должен быть больше 100 символов 56
57,3,2025-09-09 09:04:11.420201,Заголовок про программирование 57,Текст про программирование должен быть больше 100 символов 57
58,2,2025-09-09 09:04:11.420202,Заголовок про программирование 58,Текст про программирование должен быть больше 100 символов 58
59,1,2025-09-09 09:04:11.420203,Заголовок про программирование 59,Текст про программирование должен быть больше 100 символов 59
60,1,2025-09-09 09:04:11.420204,Заголовок про программирование 60,Текст про программирование должен быть больше 100 символов 60
61,1,2025-09-09 09:04:11.420205,Заголовок про программирование 61,Текст про программирование должен быть больше 100 символов 61
62,3,2025-09-09 09:04:11.420206,Заголовок про программирование 62,Текст про программирование должен быть больше 100 символов 62
63,1,2025-09-09 09:04:11.420207,Заголовок про программирование 63,Текст про программирование должен быть больше 100 символов 63
64,1,2025-09-09 09:04:11.420208,Заголовок про программирование 64,Текст про программирование должен быть больше 100 символов 64
65,1,2025-09-09 09:04:11.420209,Заголовок про программирование 65,Текст про программирование должен быть больше 100 символов 65
66,2,2025-09-09 09:04:11.420210,Заголовок про программирование 66,Текст про программирование должен быть больше 100 символов 66
67,2,2025-09-09 09:04:11.420211,Заголовок про программирование 67,Текст про программирование должен быть больше 100 символов 67
68,3,2025-09-09 09:04:11.420212,Заголовок про программирование 68,Текст про программирование должен быть больше 100 символов 68
69,2,2025-09-09 09:04:11.420213,Заголовок про программирование 69,Текст про программирование должен быть больше 100 символов 69
70,2,2025-09-09 09:04:11.420214,Заголовок про программирование 70,Текст про программирование должен быть больше 100 символов 70
71,3,2025-09-09 09:04:11.420215,Заголовок про программирование 71,Текст про программирование должен быть больше 100 символов 71
